symbol,price,date
ABCB4,12.5,07-23-2014
ABCB4,13.05,07-24-2014
ABCB4,12.65,07-25-2014
ABCB4,12.58,07-28-2014
ABCB4,12.68,07-29-2014
ABCB4,12.98,07-30-2014
ABCB4,12.95,07-31-2014
ABCB4,13.57,08-01-2014
ABCB4,13.75,08-04-2014
ABCB4,13.69,08-05-2014
ABCB4,13.67,08-06-2014
ABCB4,13.67,08-07-2014
ABCB4,13.56,08-08-2014
ABCB4,13.58,08-11-2014
ABCB4,13.75,08-12-2014
ABCB4,13.6,08-13-2014
ABCB4,13.28,08-14-2014
ABCB4,13.63,08-15-2014
ABCB4,13.85,08-18-2014
ABCB4,13.94,08-19-2014
ABCB4,13.9,08-20-2014
ABCB4,14.1,08-21-2014
ABCB4,14.04,08-22-2014
ABCB4,14.05,08-25-2014
ABCB4,13.9,08-26-2014
ABCB4,14.28,08-27-2014
ABCB4,14.85,08-28-2014
ABCB4,15.0,08-29-2014
ABCB4,14.6,09-01-2014
ABCB4,14.97,09-02-2014
ABCB4,15.1,09-03-2014
ABCB4,14.99,09-04-2014
ABCB4,15.27,09-05-2014
ABCB4,14.7,09-08-2014
ABCB4,14.7,09-09-2014
ABCB4,14.51,09-10-2014
ABCB4,14.9,09-11-2014
ABCB4,14.57,09-12-2014
ABCB4,14.41,09-15-2014
ABCB4,14.45,09-16-2014
ABCB4,14.22,09-17-2014
ABCB4,14.4,09-18-2014
ABCB4,14.05,09-19-2014
ABCB4,13.58,09-22-2014
ABCB4,13.62,09-23-2014
ABCB4,13.62,09-24-2014
ABCB4,13.39,09-25-2014
ABCB4,13.84,09-26-2014
ABCB4,13.37,09-29-2014
ABCB4,13.55,09-30-2014
ABCB4,13.0,10-01-2014
ABCB4,13.05,10-02-2014
ABCB4,13.16,10-03-2014
ABCB4,13.77,10-06-2014
ABCB4,13.8,10-07-2014
ABCB4,13.82,10-08-2014
ABCB4,13.85,10-09-2014
ABCB4,13.68,10-10-2014
ABCB4,14.21,10-13-2014
ABCB4,14.24,10-14-2014
ABCB4,14.15,10-15-2014
ABCB4,13.75,10-16-2014
ABCB4,14.0,10-17-2014
ABCB4,13.64,10-20-2014
ABCB4,13.4,10-21-2014
ABCB4,13.33,10-22-2014
ABCB4,12.77,10-23-2014
ABCB4,13.06,10-24-2014
ABCB4,12.66,10-27-2014
ABCB4,13.21,10-28-2014
ABCB4,13.11,10-29-2014
ABCB4,13.35,10-30-2014
ABCB4,13.77,10-31-2014
ABCB4,13.28,11-03-2014
ABCB4,13.55,11-04-2014
ABCB4,13.4,11-05-2014
ABCB4,13.21,11-06-2014
ABCB4,13.32,11-07-2014
ABCB4,13.15,11-10-2014
ABCB4,13.12,11-11-2014
ABCB4,13.17,11-12-2014
ABCB4,13.06,11-13-2014
ABCB4,12.87,11-14-2014
ABCB4,13.0,11-17-2014
ABCB4,13.0,11-18-2014
ABCB4,13.25,11-19-2014
ABCB4,13.75,11-21-2014
ABCB4,13.72,11-24-2014
ABCB4,13.79,11-25-2014
ABCB4,13.8,11-26-2014
ABCB4,13.98,11-27-2014
ABCB4,13.95,11-28-2014
ABCB4,13.55,12-01-2014
ABCB4,13.56,12-02-2014
ABCB4,13.46,12-03-2014
ABCB4,13.18,12-04-2014
ABCB4,13.39,12-05-2014
ABCB4,13.01,12-08-2014
ABCB4,13.03,12-09-2014
ABCB4,12.92,12-10-2014
ABCB4,13.02,12-11-2014
ABCB4,12.99,12-12-2014
ABCB4,13.0,12-15-2014
ABCB4,12.75,12-16-2014
ABCB4,12.9,12-17-2014
ABCB4,12.5,12-18-2014
ABCB4,12.74,12-19-2014
ABCB4,12.85,12-22-2014
ABCB4,12.6,12-23-2014
ABCB4,12.8,12-26-2014
ABCB4,12.99,12-29-2014
ABCB4,13.5,12-30-2014
ABCB4,12.55,01-02-2015
ABCB4,12.45,01-05-2015
ABCB4,12.15,01-06-2015
ABCB4,11.91,01-07-2015
ABCB4,11.92,01-08-2015
ABCB4,11.74,01-09-2015
ABCB4,11.6,01-12-2015
ABCB4,11.8,01-13-2015
ABCB4,11.75,01-14-2015
ABCB4,11.5,01-15-2015
ABCB4,11.8,01-16-2015
ABCB4,11.7,01-19-2015
ABCB4,11.5,01-20-2015
ABCB4,11.55,01-21-2015
ABCB4,11.53,01-22-2015
ABCB4,11.5,01-23-2015
ABCB4,11.43,01-26-2015
ABCB4,11.36,01-27-2015
ABCB4,11.35,01-28-2015
ABCB4,11.3,01-29-2015
ABCB4,11.35,01-30-2015
ABCB4,11.25,02-02-2015
ABCB4,11.35,02-03-2015
ABCB4,11.6,02-04-2015
ABCB4,11.8,02-05-2015
ABCB4,11.9,02-06-2015
ABCB4,11.9,02-09-2015
ABCB4,11.84,02-10-2015
ABCB4,12.15,02-11-2015
ABCB4,12.09,02-12-2015
ABCB4,12.1,02-13-2015
ABCB4,12.0,02-18-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
ABCB4,11.9,02-19-2015
AELP3,8.71,01-02-2014
AELP3,9.25,01-03-2014
AELP3,8.84,01-08-2014
AELP3,8.21,01-09-2014
AELP3,8.4,01-10-2014
AELP3,8.34,01-13-2014
AELP3,8.28,01-14-2014
AELP3,8.3,01-15-2014
AELP3,8.3,01-16-2014
AELP3,8.47,01-17-2014
AELP3,7.52,01-20-2014
AELP3,7.84,01-21-2014
AELP3,7.68,01-23-2014
